School_ID,Student_ID,Year_level,Numeracy_score,Gender,First_Nations,Language_background,School_SES,Treatment
1100047,21,6,671.71545,0,0,1,1003,0
1100048,22,3,411.94,0,0,0,1161,0
1100048,22,4,583.81458,0,0,0,1161,0
1100048,22,5,633.66602,0,0,0,1161,0
1100048,22,6,689.31787,0,0,0,1161,0
1100120,23,3,447.06,1,0,0,1174,0
1100120,23,4,506.07675,1,0,0,1174,0
1100120,23,5,546.11047,1,0,0,1174,0
1100120,23,6,612.12219,1,0,0,1174,0
1100085,24,3,362.56,1,0,1,1030,0
1100085,24,4,451.06033,1,0,1,1030,0
1100085,24,5,473.4158,1,0,1,1030,0
1100085,24,6,538.24353,1,0,1,1030,0
1100029,25,3,369.26001,0,0,0,1055,0
1100029,25,4,476.07941,0,0,0,1055,0
1100029,25,5,519.60852,0,0,0,1055,0
1100029,25,6,589.93329,0,0,0,1055,0
1100044,26,3,317.42001,1,0,0,1064,1
1100044,26,4,432.93427,1,0,0,1064,1
1100044,26,5,510.69193,1,0,0,1064,1
1100044,26,6,511.25403,1,0,0,1064,1
1100029,27,3,401.79999,0,0,0,1055,0
1100029,27,4,469.44171,0,0,0,1055,0
1100029,27,5,540.04224,0,0,0,1055,0
1100029,27,6,571.89087,0,0,0,1055,0
1100066,28,3,326.20001,1,0,0,1094,1
1100066,28,4,372.93958,1,0,0,1094,1
1100066,28,5,458.05951,1,0,0,1094,1
1100066,28,6,557.17615,1,0,0,1094,1
1100048,29,3,438.17999,1,0,1,1161,0
1100048,29,4,613.42902,1,0,1,1161,0
1100048,29,5,566.91577,1,0,1,1161,0
1100048,29,6,644.07855,1,0,1,1161,0
1100052,30,3,353.17999,0,0,0,1110,0
1100052,30,4,428.59421,0,0,0,1110,0
1100052,30,5,546.23431,0,0,0,1110,0
1100052,30,6,588.6604,0,0,0,1110,0
1100052,31,3,361.72,0,0,0,1110,0
1100052,31,4,451.18796,0,0,0,1110,0
1100052,31,5,500.90848,0,0,0,1110,0
1100052,31,6,556.25018,0,0,0,1110,0
